,Region,Country,State,City,Month,Day,Year,AvgTemperature
921973,Europe,Spain,,Madrid,1,1,1995,45.9
921974,Europe,Spain,,Madrid,1,2,1995,40.0
921975,Europe,Spain,,Madrid,1,3,1995,34.1
921976,Europe,Spain,,Madrid,1,4,1995,37.0
921977,Europe,Spain,,Madrid,1,5,1995,43.1
921978,Europe,Spain,,Madrid,1,6,1995,46.7
921979,Europe,Spain,,Madrid,1,7,1995,43.7
921980,Europe,Spain,,Madrid,1,8,1995,40.5
921981,Europe,Spain,,Madrid,1,9,1995,43.0
921982,Europe,Spain,,Madrid,1,10,1995,39.1
921983,Europe,Spain,,Madrid,1,11,1995,39.4
921984,Europe,Spain,,Madrid,1,12,1995,46.2
921985,Europe,Spain,,Madrid,1,13,1995,37.7
921986,Europe,Spain,,Madrid,1,14,1995,36.9
921987,Europe,Spain,,Madrid,1,15,1995,37.9
921988,Europe,Spain,,Madrid,1,16,1995,37.7
921989,Europe,Spain,,Madrid,1,17,1995,39.9
921990,Europe,Spain,,Madrid,1,18,1995,48.4
921991,Europe,Spain,,Madrid,1,19,1995,40.8
921992,Europe,Spain,,Madrid,1,20,1995,45.1
921993,Europe,Spain,,Madrid,1,21,1995,39.9
921994,Europe,Spain,,Madrid,1,22,1995,42.2
921995,Europe,Spain,,Madrid,1,23,1995,47.1
921996,Europe,Spain,,Madrid,1,24,1995,54.9
921997,Europe,Spain,,Madrid,1,25,1995,54.9
921998,Europe,Spain,,Madrid,1,26,1995,51.5
921999,Europe,Spain,,Madrid,1,27,1995,46.3
922000,Europe,Spain,,Madrid,1,28,1995,48.2
922001,Europe,Spain,,Madrid,1,29,1995,45.0
922002,Europe,Spain,,Madrid,1,30,1995,51.8
922003,Europe,Spain,,Madrid,1,31,1995,42.3
922004,Europe,Spain,,Madrid,2,1,1995,42.5
922005,Europe,Spain,,Madrid,2,2,1995,45.1
922006,Europe,Spain,,Madrid,2,3,1995,44.3
922007,Europe,Spain,,Madrid,2,4,1995,42.8
922008,Europe,Spain,,Madrid,2,5,1995,45.1
922009,Europe,Spain,,Madrid,2,6,1995,46.1
922010,Europe,Spain,,Madrid,2,7,1995,41.2
922011,Europe,Spain,,Madrid,2,8,1995,47.0
922012,Europe,Spain,,Madrid,2,9,1995,52.3
922013,Europe,Spain,,Madrid,2,10,1995,46.3
922014,Europe,Spain,,Madrid,2,11,1995,41.8
922015,Europe,Spain,,Madrid,2,12,1995,44.9
922016,Europe,Spain,,Madrid,2,13,1995,51.6
922017,Europe,Spain,,Madrid,2,14,1995,57.6
922018,Europe,Spain,,Madrid,2,15,1995,56.5
922019,Europe,Spain,,Madrid,2,16,1995,52.3
922020,Europe,Spain,,Madrid,2,17,1995,51.0
922021,Europe,Spain,,Madrid,2,18,1995,47.7
922022,Europe,Spain,,Madrid,2,19,1995,44.1
922023,Europe,Spain,,Madrid,2,20,1995,46.7
922024,Europe,Spain,,Madrid,2,21,1995,49.1
922025,Europe,Spain,,Madrid,2,22,1995,44.6
922026,Europe,Spain,,Madrid,2,23,1995,42.6
922027,Europe,Spain,,Madrid,2,24,1995,54.7
922028,Europe,Spain,,Madrid,2,25,1995,54.8
922029,Europe,Spain,,Madrid,2,26,1995,43.4
922030,Europe,Spain,,Madrid,2,27,1995,42.3
922031,Europe,Spain,,Madrid,2,28,1995,42.7
922032,Europe,Spain,,Madrid,3,1,1995,49.4
922033,Europe,Spain,,Madrid,3,2,1995,45.6
922034,Europe,Spain,,Madrid,3,3,1995,46.5
922035,Europe,Spain,,Madrid,3,4,1995,46.8
922036,Europe,Spain,,Madrid,3,5,1995,54.8
922037,Europe,Spain,,Madrid,3,6,1995,51.1
922038,Europe,Spain,,Madrid,3,7,1995,42.6
922039,Europe,Spain,,Madrid,3,8,1995,44.4
922040,Europe,Spain,,Madrid,3,9,1995,44.4
922041,Europe,Spain,,Madrid,3,10,1995,48.4
922042,Europe,Spain,,Madrid,3,11,1995,54.0
922043,Europe,Spain,,Madrid,3,12,1995,57.2
922044,Europe,Spain,,Madrid,3,13,1995,53.1
922045,Europe,Spain,,Madrid,3,14,1995,50.6
922046,Europe,Spain,,Madrid,3,15,1995,50.1
922047,Europe,Spain,,Madrid,3,16,1995,49.7
922048,Europe,Spain,,Madrid,3,17,1995,49.0
922049,Europe,Spain,,Madrid,3,18,1995,51.3
922050,Europe,Spain,,Madrid,3,19,1995,53.1
922051,Europe,Spain,,Madrid,3,20,1995,54.2
922052,Europe,Spain,,Madrid,3,21,1995,53.7
922053,Europe,Spain,,Madrid,3,22,1995,51.8
922054,Europe,Spain,,Madrid,3,23,1995,49.2
922055,Europe,Spain,,Madrid,3,24,1995,53.0
922056,Europe,Spain,,Madrid,3,25,1995,57.9
922057,Europe,Spain,,Madrid,3,26,1995,59.6
922058,Europe,Spain,,Madrid,3,27,1995,57.2
922059,Europe,Spain,,Madrid,3,28,1995,57.9
922060,Europe,Spain,,Madrid,3,29,1995,57.8
922061,Europe,Spain,,Madrid,3,30,1995,54.0
922062,Europe,Spain,,Madrid,3,31,1995,50.3
922063,Europe,Spain,,Madrid,4,1,1995,54.3
922064,Europe,Spain,,Madrid,4,2,1995,57.6
922065,Europe,Spain,,Madrid,4,3,1995,57.7
922066,Europe,Spain,,Madrid,4,4,1995,58.1
922067,Europe,Spain,,Madrid,4,5,1995,60.1
922068,Europe,Spain,,Madrid,4,6,1995,64.1
922069,Europe,Spain,,Madrid,4,7,1995,63.6
922070,Europe,Spain,,Madrid,4,8,1995,64.0
922071,Europe,Spain,,Madrid,4,9,1995,66.1
922072,Europe,Spain,,Madrid,4,10,1995,65.8
922073,Europe,Spain,,Madrid,4,11,1995,64.9
922074,Europe,Spain,,Madrid,4,12,1995,66.8
922075,Europe,Spain,,Madrid,4,13,1995,65.1
922076,Europe,Spain,,Madrid,4,14,1995,58.8
922077,Europe,Spain,,Madrid,4,15,1995,58.5
922078,Europe,Spain,,Madrid,4,16,1995,55.3
922079,Europe,Spain,,Madrid,4,17,1995,58.0
922080,Europe,Spain,,Madrid,4,18,1995,63.1
922081,Europe,Spain,,Madrid,4,19,1995,62.5
922082,Europe,Spain,,Madrid,4,20,1995,53.6
922083,Europe,Spain,,Madrid,4,21,1995,45.2
922084,Europe,Spain,,Madrid,4,22,1995,42.9
922085,Europe,Spain,,Madrid,4,23,1995,41.3
922086,Europe,Spain,,Madrid,4,24,1995,44.1
922087,Europe,Spain,,Madrid,4,25,1995,46.1
922088,Europe,Spain,,Madrid,4,26,1995,51.0
922089,Europe,Spain,,Madrid,4,27,1995,47.8
922090,Europe,Spain,,Madrid,4,28,1995,55.7
922091,Europe,Spain,,Madrid,4,29,1995,62.5
922092,Europe,Spain,,Madrid,4,30,1995,65.6
922093,Europe,Spain,,Madrid,5,1,1995,67.7
922094,Europe,Spain,,Madrid,5,2,1995,64.7
922095,Europe,Spain,,Madrid,5,3,1995,65.7
922096,Europe,Spain,,Madrid,5,4,1995,66.9
922097,Europe,Spain,,Madrid,5,5,1995,68.2
922098,Europe,Spain,,Madrid,5,6,1995,66.7
922099,Europe,Spain,,Madrid,5,7,1995,69.7
922100,Europe,Spain,,Madrid,5,8,1995,68.1
922101,Europe,Spain,,Madrid,5,9,1995,66.2
922102,Europe,Spain,,Madrid,5,10,1995,65.9
922103,Europe,Spain,,Madrid,5,11,1995,60.7
922104,Europe,Spain,,Madrid,5,12,1995,56.6
922105,Europe,Spain,,Madrid,5,13,1995,55.4
922106,Europe,Spain,,Madrid,5,14,1995,62.5
922107,Europe,Spain,,Madrid,5,15,1995,67.9
922108,Europe,Spain,,Madrid,5,16,1995,67.1
922109,Europe,Spain,,Madrid,5,17,1995,68.9
922110,Europe,Spain,,Madrid,5,18,1995,68.5
922111,Europe,Spain,,Madrid,5,19,1995,66.3
922112,Europe,Spain,,Madrid,5,20,1995,66.2
922113,Europe,Spain,,Madrid,5,21,1995,65.0
922114,Europe,Spain,,Madrid,5,22,1995,68.0
922115,Europe,Spain,,Madrid,5,23,1995,69.4
922116,Europe,Spain,,Madrid,5,24,1995,69.1
922117,Europe,Spain,,Madrid,5,25,1995,66.6
922118,Europe,Spain,,Madrid,5,26,1995,66.1
922119,Europe,Spain,,Madrid,5,27,1995,69.9
922120,Europe,Spain,,Madrid,5,28,1995,74.8
